"","category","name","price","ratings","no_of_reviews"
"30","GamingAccessories2","zelotes T90 Gaming Mouse 9200 DPI, 8 Buttons Multi-Modes LED lights USB Gaming Mice, Weight Tuning for Laptop, Desktop, PC, Macbook - Black",NA,NA,"49"
"31","GamingAccessories2","MOOJAY Wireless PC Gaming Keyboard and Mouse RGB Backlit, Rechargeable 2.4G Light Up Cordless Keyboard with Ergonomic Wireless Wired Dual Mode Mice, for PC/Laptop/Windows/Mac - Black",NA,NA,"5,421"
"32","GamingAccessories2","Razer Basilisk V3 - Customizable Ergonomic Gaming-Mouse with fastest Mouse Switch, 26K dpi Optical Sensor (Chroma RGB Lighting, 11 Programmable Buttons, HyperScroll Tilt Wheel) Black",NA,NA,"181"
"33","GamingAccessories2","Check each product page for other buying options.","74.","4.1 out of 5 stars","8,476"
"34","GamingAccessories2","TECKNET Wireless Gaming Mouse 2.4G Optical USB Computer Mice, 8 Buttons, 4800DPI Nano Receiver for Win11, Win10, Win8, Win7, Windows XP, Vista, MAC","62.",NA,"4,244"
"35","GamingAccessories2","Logitech G903 LIGHTSPEED Wireless Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Lightweight, Programmable Buttons, 140h Battery Life, POWERPLAY-compatible, Ambidextrous, PC/Mac - Black","25.",NA,"11,330"
"36","GamingAccessories2","Logitech G PRO Wireless Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Ultra Lightweight, 4-8 Programmable Buttons, Long Battery Life, POWERPLAY-compatible, UK Packaging, PC/Mac - Black","13.",NA,"1,547"
"37","GamingAccessories2","Redragon Gaming Mouse, Wireless Gaming Mouse with 9 Programmable Buttons, RGB Backlit, Rechargeable Wireless Mouse UP to 8000 DPI, Macro Edit, 70Hrs for Laptop, PC, Mac Gamer, Black M910-KS","26.",NA,"27"
"38","GamingAccessories2","JYCSTE Wireless Gaming Mouse, Rechargeable Computer Mouse Ergonomic Mice Honeycomb Design with RGB Backlight, USB Receiver, 6 Buttons, Adjustable DPI, Wireless Mouse for PC/Mac/Laptop (White)","37.",NA,"789"
"39","GamingAccessories2","KUIYN 383 Ultralight Wired Gaming Mouse, Lightweight Honeycomb Shell, 4 RGB Breathing Backlit Mice, 4 Adjustable DPI 2400, USB Optical Computer Mice for Win10/XP/Xbox/PS4/PS5/Mac/Air/HP/Acer (White)","43.",NA,"390"
"40","GamingAccessories2","Logitech G G502 X Wired Gaming Mouse - LIGHTFORCE hybrid optical-mechanical primary switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - White","9.",NA,"17,270"
"41","GamingAccessories2","Logitech G402 Hyperion Fury Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, DPI Switch Button, Compatible with PC/Mac - Black","5.",NA,"343"
"42","GamingAccessories2","Razer Cobra - Lightweight Wired Gaming Mouse Chroma RGB (57g Lightweight Design, Optical Mouse Switches Gen-3, Chroma Lighting with Gradient Underglow, Precise Sensor Adjustments) Black","15.",NA,"8,499"
"43","GamingAccessories2","Corsair M65 PRO RGB FPS Gaming Mouse (12000 DPI Optical Sensor, Adjustable Weights, 8 Programmable Buttons, 3-Zone RGB Multi-Colour Backlighting, Xbox One Compatible) - Black","34.",NA,"3,884"
"44","GamingAccessories2","Lycander Gaming Mouse, Wired Optical USB Mice with Adjustable dpi up to 6400, 7 Buttons, LED, 1.5M Cable","56.",NA,"75"
"45","GamingAccessories2","MARVO M112 Gaming Mouse - 7 LED Colours, Adjustable 4000dpi Optical Sensor, 7 Programmable Buttons, USB 2.0 Connection, Black","11.",NA,"5,818"
