"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","HSERTT Weight Cable Pulley System Gym","Muy completo","Renato T.","Great home set up. I use in my garage and pack everything up when done. Perfect.","Reviewed in Australia on 25 October 2023","4.6 out of 5 stars","Verified Purchase"
"2","HSERTT Weight Cable Pulley System Gym","Works perfect","Amazon Customer","Works well. Missing the product manual but figured it out eventually.","Reviewed in Australia on 2 November 2023","5.0 out of 5 stars","Verified Purchase"
"3","HSERTT Weight Cable Pulley System Gym","Brilliant","Kindle Customer","Husband is loving these and turns his rack into cable system easy?","Reviewed in Australia on 1 June 2023","5.0 out of 5 stars","Verified Purchase"
"4","HSERTT Weight Cable Pulley System Gym","Ottima fattura, sodisfatto","Glenn Cogan","All this gear works perfectly. Very happy with the quality","Reviewed in Australia on 7 April 2023","5.0 out of 5 stars","Verified Purchase"
"5","HSERTT Weight Cable Pulley System Gym","Sehr schön","Mohammad","I bought a set earlier from Amazon US and was really happy with the quality. To extend the set I bought this one. This one didn’t came in its original packaging. No dockets. All components look and feel different to the one I already had. Check the photos. The original one I already had, have brand tags, looks and feels much better quality. How do I know this is original given it was repackaged? Feels dodgy. This is not a feedback for Amazon or delivery. Amazon was great dealing with it.","Reviewed in Australia on 19 February 2024","5.0 out of 5 stars","Verified Purchase"
"6","HSERTT Weight Cable Pulley System Gym",NA,"Mohammad","Para el precio que tiene su calidad es bastante alta, llevo casi 4 meses usandolos y le han dado una vuelta a mi entrenamiento en casa.","Reviewed in Spain on 12 February 2024","1.0 out of 5 stars","Verified Purchase"
"7","HSERTT Weight Cable Pulley System Gym",NA,"Jose Antonio Flores Marquez","The media could not be loaded.
                
            
                
            
            
        
    
    
 May take some figuring out which way to hook up the length but does exams described. For me, my beam was higher than an average beam so I used two of the methods described in the instructions to make it work but it's great quality,  sturdy and works well","Reviewed in the United Kingdom on 8 December 2023","1.0 out of 5 stars","Verified Purchase"
"8","HSERTT Weight Cable Pulley System Gym",NA,"Thomas L","This system is awesome.  The pulleys are smoother than any cable machines at my gym.  The handles, rope, and bar are the same quality as my gym if not better.  At first I was attaching the pulleys to my pull-up bar, but then I picked up some lag type eye bolts and strategically placed them in some studs in the wall and ceiling of my garage and now I have so many configurations I can do almost any workout my gym offers but from home.I didn't own any plates at first, but I purchased an ankle strap with a plan in mind- I have a set of adjustable dumbbells so I was hoisting one of them up and down for a couple days until my plates arrived.I recommend the CAP rubber bumper plates, I purchased 100 pounds in various weights for $75 and I'm getting more.I'm about to purchase the SERTT lat bar and a v-bar to round out this system, maybe even a couple more pulleys so I can leave them all in place.You have to be creative but you can set these pulleys up in so many different ways.  If you own this system, a set of adjustable dumbbells, and a bench you can do a complete workout from home.  Very happy with the quality and value of this purchase and if you are considering buying something like this I highly recommend it.","Reviewed in the United States on 31 January 2024","5.0 out of 5 stars","Verified Purchase"
"9","HSERTT Weight Cable Pulley System Gym",NA,"Thomas L","Ero un po' titubante sulla corretta esecuzione degli esercizi ma devo dire che il risultato è simile a quello che si ha in palestra. Si ha un po' l'effetto pendolo sul pacco pesi ma nulla di fastidioso.. Per chi ha il rack 500 della decathlon va benone. Lo consiglio per chi vuole variare gli esercizi classici con manubri e bilanciere..","Reviewed in Italy on 19 December 2023","5.0 out of 5 stars","Verified Purchase"
"10","HSERTT Weight Cable Pulley System Gym",NA,"Roger B","1a Ware gerne wieder","Reviewed in Germany on 4 February 2024","5.0 out of 5 stars","Verified Purchase"
"11","HSERTT Weight Cable Pulley System Gym","Highly recommend","Amazon Customer","Not enough room for a true home gym but I really missed cable exercises.  This is well worth the money.  The bag it really nice to pack it up. I've just been using my chin up bar to attach it to.","Reviewed in Canada on 6 January 2024","4.6 out of 5 stars","Verified Purchase"
"12","HSERTT Weight Cable Pulley System Gym","Parfait","Kevin Geffroy","Acheté pour ajouter quelques exercices à un rack mural.Il fait très bien l'affaire, j'ai seulement des doutes sur la base sur laquelle on met les poids dans la durée.Pour l'instant après 2 mois et une utilisation quasi quotidienne ça tient le coup.","Reviewed in France on 23 May 2023","5.0 out of 5 stars","Verified Purchase"
"13","HSERTT Weight Cable Pulley System Gym","Très bien","LiliBouteille","Très bien,-il faudrait rajouter une troisième poulie dans le kit mais si non c’est génial.-des fois la corde peut se coincer dans la poulie si on ne fait pas attention-les poignées sont vraiment pas terrible (la barre droite ne tourne même pas sur elle même comme en salle)-Un des seuls kit avec lequel on peut faire du vis-à-vis-les poulies sont très fluides et de bonne qualité","Reviewed in France on 5 February 2023","5.0 out of 5 stars","Verified Purchase"
"14","HSERTT Weight Cable Pulley System Gym","Strength Redefined - Weight Cable Pulley System Elevates Home Workouts!","Paul","The Weight Cable Pulley System for my home gym has been a total game-changer. Its versatility and smooth operation have brought a new dimension to my strength training routine. The sturdy construction and easy setup make it a standout choice for anyone looking to elevate their home workouts. Transform your fitness journey with this Weight Cable Pulley System – it's a powerhouse for targeted exercises and gains!","Reviewed in the United States on 6 January 2024","5.0 out of 5 stars","Verified Purchase"
"15","HSERTT Weight Cable Pulley System Gym","Super Abrollgefühl","Nico F.","Ich trainiere gerade das erste Mal mit dem Equipment und ich finde die Qualität super. Die Ketten wiegen 500g und machen ebenfalls einen robusten Eindruck.","Reviewed in Germany on 16 January 2024","5.0 out of 5 stars","Verified Purchase"
"16","HSERTT Weight Cable Pulley System Gym","Very well made","Nico F.","Very well made and offers a lot of utility. This could easily allow for a full workout for minimal cost.","Reviewed in Canada on 31 October 2023","5.0 out of 5 stars","Verified Purchase"
"17","HSERTT Weight Cable Pulley System Gym","Calidad","Gillian","Llego en tiempo, se ven muy resistentes, muy buena calidad como las del gimnasio.","Reviewed in Spain on 16 November 2023","5.0 out of 5 stars","Verified Purchase"
"18","HSERTT Weight Cable Pulley System Gym","Perfetti","Cliente Amazon","Ottima qualità. Si riescono a fare moltissimi esercizi con poco più di 70€","Reviewed in Italy on 30 May 2023","5.0 out of 5 stars","Verified Purchase"
"19","HSERTT Weight Cable Pulley System Gym","Great product amazing value","Cliente Amazon","After doing quite a bit of research I settled on this product to upgrade my home gym without breaking the bank. I’ve used all of the attachments and different pulley setups and couldn’t be happier. Everything is well made and the price can’t be beat for two pulleys. I’ve seen similar systems for double the cost and can’t imagine them operating any differently. I’ve separately purchased some ankle cuffs for leg workouts and extra carabiners to make things a breeze when changing configurations/attachments.","Reviewed in the United States on 21 August 2023","5.0 out of 5 stars","Verified Purchase"
"20","HSERTT Weight Cable Pulley System Gym","Ottimo","Ryan Nichols","Ottimo sistema di cavi. Se avete la struttura giusta potete farci davvero di tutto il cavo sembra abbia davvero una una qualità è da 4 mesi che lo uso e continua a tenere bene e non usurarsi facilmente consiglio per chi ha o si vuole fare una piccola home gym","Reviewed in Italy on 16 July 2023","5.0 out of 5 stars","Verified Purchase"
"21","HSERTT Weight Cable Pulley System Gym","Bin sehr zufrieden","Jan Sky","Das SERTT Gewicht Seilzugsystem Gym ist ein großartiges Fitnessgerät für alle, die zu Hause trainieren möchten. Ich habe es auch ausprobiert und muss sagen, dass ich von der Qualität und Vielseitigkeit des Systems beeindruckt bin.Obwohl ich nicht alle Teile des Systems benutze, die mitgeliefert wurden, sind die Teile, die ich benutze, von höchster Qualität und erfüllen meine Bedürfnisse perfekt. Das Seilzugsystem ermöglicht es mir, verschiedene Muskelgruppen zu trainieren und zu stärken, indem ich eine Vielzahl von Übungen ausführe. Das System ist einfach zu installieren und zu bedienen, was es zu einer großartigen Option für Menschen macht, die neu im Bereich der Fitness sind oder einfach zu Hause trainieren möchten.Ein weiterer Vorteil des SERTT Gewicht Seilzugsystems ist seine Robustheit und Haltbarkeit. Das System ist gut gebaut und die Materialien sind von hoher Qualität, was mir das Vertrauen gibt, dass es lange halten wird.Insgesamt bin ich sehr zufrieden mit dem SERTT Gewicht Seilzugsystem Gym. Es ist ein großartiges Fitnessgerät für zu Hause und ich würde es jedem empfehlen, der nach einer einfachen, erschwinglichen und vielseitigen Möglichkeit sucht, um in seinem eigenen Zuhause zu trainieren. Obwohl ich nicht alle Teile des Systems verwende, die mitgeliefert wurden, kann ich sagen, dass die Teile, die ich verwende, absolut top sind und meine Bedürfnisse perfekt erfüllen.","Reviewed in Germany on 19 April 2023","4.6 out of 5 stars","Verified Purchase"
"22","HSERTT Weight Cable Pulley System Gym","Suficiente","Cliente Amazon","Tuve que comprar poleas a parte para ponerlas directamente en el techo, las q trae son ganchos en las q el cable se enreda fácilmente.Cumple con su función.","Reviewed in Spain on 1 June 2023","4.0 out of 5 stars","Verified Purchase"
"23","HSERTT Weight Cable Pulley System Gym","Drcent","Zuda","Worth the money","Reviewed in Canada on 31 August 2022","4.0 out of 5 stars","Verified Purchase"
"24","HSERTT Weight Cable Pulley System Gym","Très bonnes poulies","philippe baconnet","Je dois dire que je suis agréablement surpris pat la facilité de montage des poulies qui semble solides;Les différentes possibilités d'installations sont vraiment pratique pour travailler différents groupesmusculaires et pouvoir s'entrainer correctement à la maison.Je recommande ce produit.","Reviewed in France on 21 February 2023","4.0 out of 5 stars","Verified Purchase"
"25","HSERTT Weight Cable Pulley System Gym","Davvero tanta roba","Gabriele Castello","Ottimo sistema di pulegge, tutto il materiale è robusto e fatto bene.Davvero funzionale per una home gym.Ha tutte le impugnature per gli esercizi tranne la sbarra lat machine..Regge carichi anche elevati senza la preoccupazione che si rompa","Reviewed in Italy on 14 February 2024","4.0 out of 5 stars","Verified Purchase"
"26","HSERTT Weight Cable Pulley System Gym","Top","Wilfried Lienard","Excellent article, grâce au 2 poulie je peux travailler soit en poulie haute ou basse sur ma chaise romaine.Possible aussi de faire du leg curl et kick back si vous avez les accroches de jambes","Reviewed in France on 29 December 2022","5.0 out of 5 stars","Verified Purchase"
"27","HSERTT Weight Cable Pulley System Gym","Great bit of kit.","Remote Control Giant","I love this set. Really good quality components that feel like they’ll last. I use it connected in various ways to my “power-tower” / pull up station and the possible combinations of connections for different exercises is really impressive. For about £60 I’ve been able to add another 10 - 15 different weighted exercises to my home gym set up. I’m considering adding some wall and ceiling anchors to really optimise how I can use it now.","Reviewed in the United Kingdom on 25 October 2023","5.0 out of 5 stars","Verified Purchase"
"28","HSERTT Weight Cable Pulley System Gym","Good quality products!","Garnet MacLean","The system is well designed and easy to use","Reviewed in Canada on 31 August 2023","5.0 out of 5 stars","Verified Purchase"
"29","HSERTT Weight Cable Pulley System Gym","Super system !","Tim Bretschneider","Habe eine klimmzugstange Zuhause und so wird sie zum Multifunktionsturm .. so einfach U doch so effektiv","Reviewed in Germany on 24 October 2023","5.0 out of 5 stars","Verified Purchase"
"30","HSERTT Weight Cable Pulley System Gym","Producto impecable","Francisco Javier Torres Rodríguez","Llegó todo muy bien empaquetado, en una buena caja y con todos los accesorios metidos en sus respectivas bolsitas, muy bien protegidos. La calidad de las distintas partes es muy buena. Las poleas son muy silenciosas y se ven resistentes. Los mosquetones son bastante robustos, no como los de productos similares, más pequeños y endebles. Los demás accesorios se ven estupendos también. La bolsa de tela que trae está muy bien también. Muy contento con el producto en definitiva, no esperaba tanto la verdad. Gracias.","Reviewed in Spain on 21 January 2023","5.0 out of 5 stars","Verified Purchase"
"31","HSERTT Weight Cable Pulley System Gym","perfekt","Sandra K.","so soll es sein. super","Reviewed in Germany on 15 October 2023","4.6 out of 5 stars","Verified Purchase"
