"","category","name","price","ratings","no_of_reviews"
"27","GamingAccessories","ZFTVNIE 24 Inch Computer Monitor - Full HD 1080P 75Hz PC Monitor with HDMI VGA Ports, VESA Compatible, Tilt Adjustable, LED Monitor for Office, Black","58.","4.2 out of 5 stars","128"
"28","GamingAccessories","24 Inch Monitor FHD 1920 * 1080 Computer Monitors,Ultra-slim Bezels, 75Hz, 4ms, HDMI/VGA, Wall Mountable, VA Display, 99% SRGB, Eye Care","66.","4.1 out of 5 stars","15"
"29","GamingAccessories","CRUA 24 Inch Curved Gaming Monitor, FHD(1920×1080p) 2800R 75Hz, 95% sRGB Color Gamut Ultrawide Computer Monitors, 3-Sided Narrow Bezel and Filter Blue Light, Desktop PC Monitor(HDMI+VGA)","143.","4.0 out of 5 stars","1,535"
"30","GamingAccessories","AOC Gaming 24G2SP - 24 Inch FHD Monitor, IPS, 1ms, FreeSync Premium, Gsync Compatible, Height Adjust, Low Input lag, Game modes (1920 x 1080 @@ 165Hz, , 250 cd/m, HDMI 1.4 x 2 / Display Port)","66.","4.2 out of 5 stars","10,272"
"31","GamingAccessories","Dell P2422H 24 Inch Full HD (1920x1080) Monitor, 60Hz, IPS, 5ms, 99% sRGB, DisplayPort, HDMI, VGA, 5x USB, 3 Year Warranty, Black","112.","4.2 out of 5 stars","1,555"
"32","GamingAccessories","24 Inch Ultra-Thin Bezel Computer Monitor FHD 1080P Business Monitor, LED PC Screen Desktop Monitor, HDMI,VGA, 75Hz Gaming Display, 3000:1 Contrast Ratio,VESA Mountable,","80.",NA,"27"
"33","GamingAccessories","Samsung LS24C360EAUXXU 24"" Curved FullHD 1080p Monitor - 1920x1080, HDMI, VGA","143.",NA,"79"
"34","GamingAccessories","MSI PRO MP2422C 23.6 Inch Full HD Curved Office Monitor - 1500R 1920 x 1080 VA Panel, 100 Hz, Less Blue Light PRO, VESA Mountable, Built-in Speakers, Tilt-Adjustable - HDMI 1.4b, D-Sub, Black","143.",NA,"399"
"35","GamingAccessories","LG UltraGear Monitor 24GN60R-B, 23.8-inch, IPS Display, 144Hz, 1ms (GtG), 1920 x 1080, sRGB 99% (Typ.), HDR10, AMD FreeSync Fremium, Stylish Design","81.",NA,"227"
"36","GamingAccessories","Lenovo Legion R25f-30 24 inch Gaming Monitor | FHD, 1080p, 240Hz, VA, 0.5ms, HDMI, DP | AMD Freesync Premium | PS5, Xbox, PC screen","132.",NA,"5"
"37","GamingAccessories","KOORUI 24 Inch FHD Monitor, IPS Computer Monitors, 75Hz, 5ms, 16:9 Full HD (1920 x 1080), VESA Mountable, HDMI/VGA, Low Blue Light, 99% SRGB","125.",NA,"5,070"
"38","GamingAccessories","iiyama XU2493HS-B5 24 Inch IPS LCD with Slim Bezel, 4ms, Full HD 1920x1080, 1x HDMI,1 x DisplayPort, 2 x 2W Speakers","97.",NA,"36"
"39","GamingAccessories","AOC Gaming 24G2SPU - 24 Inch FHD Gaming monitor, 165Hz, IPS, 1ms MPRT, Height Adjust , Speakers , freesync premium, USB HUB (1920 x 1080 @ 165Hz, 250 cd/m², HDMI 1.4 / DP 1.2 / USB 3.2), Black","78.",NA,"10,272"
"40","GamingAccessories","AOC Gaming 24G2SPAE - 24 Inch FHD Monitor, 165Hz, 1ms MPRT, IPS, AMD FreeSync Premium, Speakers, Low input Lag, Shadow control (1920 x 1080 @165Hz, 350 cd/m², HDMI 1.4/DP 1.2)","107.",NA,"5,640"
"41","GamingAccessories","iiyama XUB2493HS-B5 24 Inch IPS LCD with Slim Bezel, 4ms, Full HD 1920x1080,1x HDMI,1 x DisplayPort, 2 x 2W Speakers, 150 mm HA Stand","133.",NA,"23"
"42","GamingAccessories","AOC M2470SWH - 24 Inch FHD Monitor, 60Hz,5ms, MVA, Speakers ( 1920 x 1080@ 60Hz, 250cd/m², HDMI 1.4 x 2/ VGA), Black","94.",NA,"776"
"43","GamingAccessories","Samsung LS24A336NHUXXU 24"" Full HD 1920x1080 Monitor - 1920x1080, HDMI, VGA","98.",NA,"181"
"44","GamingAccessories","BenQ ZOWIE XL2540K Esports Gaming Monitor | 24.5 inch 240Hz XL Setting to Share | 120Hz Compatible for PS5 and Xbox Series X, black",NA,NA,"3,349"
"45","GamingAccessories","Z-Edge 24 Inch Curved Gaming Monitor 180Hz/165Hz(DP) 144Hz(HDMI) 1ms MPRT, Full HD LED Monitor, VA Panel, 300cd/m² Brightness, FreeSync, HDMI DP Port, Built-in Speakers - Black",NA,NA,"1,072"
"46","GamingAccessories","Acer Nitro KG242YEbiif 24-inch Gaming Monitor - IPS Panel, 1920 x 1080, 4ms, 100Hz, FreeSync, HDMI, VGA",NA,NA,"41"
"47","GamingAccessories","Philips 243V7QDAB - 24 Inch FHD Monitor, 75Hz, 4ms, IPS, Speakers , Smart Image, Narrow Border, LowBlue Mode (1920 x 1080, 250 cd/m², HDMI/VGA/DVI)",NA,NA,"2,751"
"48","GamingAccessories","Dell S2421H 24 Inch Full HD (1920x1080) Monitor, 75Hz, IPS, 4ms, AMD FreeSync, Built-in Speakers, Ultrathin Bezel, 2x HDMI, 3 Year Warranty, Silver",NA,NA,"104"
"49","GamingAccessories","ASUS VY249HGE Eye Care Gaming Monitor (Amazon exclusive) 24 inch FHD (1920 x 1080), IPS, 144Hz, IPS, 1ms (MPRT), FreeSync Premium, Eye Care Plus technology, Antibacterial Treatment, Blue Light Filter","134.","4.2 out of 5 stars","43"
"50","GamingAccessories","KOORUI 24 Inch Computer Monitor QHD 1440P Gaming Monitor 165Hz Nano IPS 1ms Vertical Monitors with Ultra-Thin, HDMI X2, DP, VESA Compatible, Tilt Adjustable,Eye Care, Swivel and Height Adjustment","174.","4.2 out of 5 stars","1,781"
"51","GamingAccessories","ASUS TUF Gaming VG258QM Gaming Monitor – 24.5 inch Full HD (1920x1080), 280Hz*, 0.5ms (GTG), Extreme Low Motion Blur Sync, G-SYNC Compatible, DisplayHDR 400","224.",NA,"51"
"52","GamingAccessories","AOC Gaming 24G2SAE - 24 Inch FHD Gaming Monitor, 165Hz, VA, 1ms MPRT, FreeSync Premium , Low input Lag, Speakers, Shadow Control (1920 x 1080 @ 165Hz, 350 cd/m² , HDMI 1.4 x 2 / DisplayPort 1.2 x 1)","127.",NA,"10,272"
"53","GamingAccessories","HP OMEN 24 Gaming Monitor, 23.8'' Full HD IPS 165hz, Gaming Console Compatible, 2x HDMI 2.0, 1x DisplayPort 1.4, AMD FreeSync Premium, Tilt, Pivot & height adjustments, VESA Mountable, Black","80.",NA,"126"
"54","GamingAccessories","LG Electronics Monitor 24MR400-B, 24 Inch, Full HD 1080p, 100Hz, 5ms GtG, IPS Panel, AMD FreeSync, Smart Energy Saving, Anti-Glare, HDMI, Matte Black","89.",NA,"1,782"
"55","GamingAccessories","BenQ GW2475H 24-Inch FHD Eye-Care IPS LED Monitor, HDMI, Slim Bezel ,black","71.",NA,"58"
"56","GamingAccessories","Prechen 24 Inch Computer Monitor FHD 1920x1080 LED Screen, Business Frameless Gaming Display 75Hz PC Monitor, VA, 3000:1, HDMI, VGA, 4ms, VESA Mountable, Desktop Monitor for Office Work, White","89.",NA,"5,558"
"57","GamingAccessories","BenQ GL2480 24 Inch 1080p 1 ms 75 Hz LED Eye-Care Gaming Monitor, Anti-Glare, HDMI, Black","224.",NA,"574"
"58","GamingAccessories","Samsung Odyssey G4 LS25BG400EUXXU 25"" 240Hz 1ms IPS Full HD Gaming Monitor - 240Hz, 1ms, 2xHDMI, Displayport, Height Adjust","125.",NA,"574"
"59","GamingAccessories","Samsung Odyssey AG320 LS24AG320NUXXU 24"" FullHD 1080p Gaming Monitor - 165Hz, 1ms, 1920x1080, Displayport, HDMI, Freesync Premium, Height Adjust","125.",NA,"10,272"
"60","GamingAccessories","AOC Gaming C24G2AE - 24 inch FHD Curved Monitor, 165Hz, 1 ms MPRT, VA, AMD FreeSync, Speakers, Low Input Lag (1920x1080@ 165Hz, 250 cd/m², HDMI/DP/VGA)","107.",NA,"513"
